ID	Raff_UFBP	Apo_UFBP	median_root2tip	min_raff_root2tip	raff_brlen	raff_dist2root	min_apo_root2tip	apo_brlen	raff_apo_nomophyly
729	17	NA	0.326194599	0.952922764	2.16E-06	9	NA	NA	NA
730	31	NA	0.245356396	0.602807429	0.003208671	7	NA	NA	NA
731	16	31	0.376575567	0.493214323	0.014450412	4	0.556426755	0.024369997	N
732	69	69	0.242069405	0.641553263	0.042765311	8	0.579295749	0.042765311	Y
734	75	75	0.176290401	0.272483334	0.024888357	7	0.37018771	0.024888357	Y
735	98	NA	0.393446458	0.694510144	0.054977809	2	NA	NA	NA
736	28	NA	0.252391264	3.797345666	0.029624837	6	NA	NA	NA
737	41	NA	0.251055233	0.363698134	0.005473971	7	NA	NA	NA
738	62	NA	0.384227251	0.740900125	0.021664711	9	NA	NA	NA
739	42	NA	0.304507885	0.494985683	0.028261149	7	NA	NA	NA
741	32	32	0.44107716	0.858033726	0.035999709	7	0.756951293	0.035999709	Y
743	81	81	0.413521093	0.583245309	0.052564305	8	0.745332219	0.052564305	Y
744	93	93	0.226256416	0.396404848	0.048106901	5	0.41492185	0.048106901	Y
746	71	87	0.216330034	0.311047459	0.02346202	3	0.435100156	0.026835011	N
747	68	11	0.318497434	0.599204571	0.036233444	3	0.777364162	2.28E-06	N
752	84	NA	0.327622271	0.475058297	0.034867986	4	NA	NA	NA
755	19	34	0.408785711	0.700701975	0.01168069	5	0.94369291	0.019730647	N
757	98	60	0.369760476	0.37620117	0.038755329	2	0.596607513	0.022087297	N
758	68	98	0.286751432	1.01497427	0.010741397	5	0.750124983	0.066460283	N
759	46	46	0.334205171	0.54387144	0.022634039	7	0.550492974	0.022634039	Y
762	99	99	0.332493	0.482055439	0.104072901	3	0.579487598	0.104072901	Y
763	49	62	0.356998912	0.620069403	0.011970297	9	0.883249586	0.030768945	N
764	91	91	0.273520561	0.663691439	0.101149426	5	0.645706018	0.101149426	Y
765	31	31	0.247371555	0.373307848	0.011878379	6	0.406064388	0.013099844	N
769	85	43	0.362866526	1.091307433	0.052857984	9	0.715005256	0.013637264	N
770	88	NA	0.387636777	0.615156796	0.055176604	10	NA	NA	NA
773	20	57	0.2316678	0.41666928	0.001088257	6	0.371650026	0.021211554	N
777	56	NA	0.501269403	1.003373547	0.048812924	9	NA	NA	NA
779	88	62	0.305083898	0.596922306	0.034195323	8	0.668965392	0.02952146	N
780	100	NA	0.216048133	0.405075173	0.028596975	2	NA	NA	NA
781	59	38	0.361391882	0.795049651	0.044856383	5	0.674628664	0.008805024	N
782	5	NA	0.196838416	0.350325195	0.013281956	8	NA	NA	NA
786	33	44	0.45760297	0.826322724	0.039240444	6	0.621715332	0.02073483	N
788	52	48	0.279756801	0.497199683	0.006767385	5	10.37248606	0.077662741	N
789	33	33	0.267026022	0.522979452	0.025245301	8	0.547708173	0.025245301	Y
791	47	47	0.234286095	0.51263421	0.037555184	4	0.662062508	0.037555184	Y
794	53	NA	0.210783135	0.572333997	0.023206171	6	NA	NA	NA
795	25	88	0.112461094	0.233204541	0.002873743	5	0.256400363	0.025514217	N
797	12	79	0.330359604	0.609026482	0.005657537	7	0.589917677	0.038024	N
798	34	11	0.480343616	0.768964221	0.018183332	5	1.018010155	0.022572342	N
799	57	25	0.193463425	0.448047253	0.028836006	8	0.476721562	0.003197371	N
800	87	87	0.20996732	0.424263781	0.033869987	8	0.44100579	0.033869987	Y
801	34	37	0.289597246	0.369785605	0.04437483	5	0.509854584	0.019786423	N
802	63	80	0.243197409	0.45573266	0.033288261	8	0.501430321	0.018925211	N
803	61	99	0.301812417	0.420848258	0.029054098	6	0.555653391	0.032154654	N
804	77	59	0.36260776	0.646829716	0.065184599	2	0.653400765	0.017416006	N
805	93	93	0.334200987	0.534570587	0.048988303	4	0.787657417	0.048988303	Y
806	72	NA	0.423795105	0.533038821	0.0178836	4	NA	NA	NA
807	86	86	0.586199332	1.078267285	0.040918571	6	0.942975176	0.040918571	Y
808	7	79	0.164154441	0.3305225	0.009957513	11	0.47244206	0.019002993	N
810	48	48	0.254396731	0.434780036	0.00844036	2	0.450515967	0.00844036	N
812	26	NA	0.385601695	0.708515915	0.012956793	7	NA	NA	NA
813	50	92	0.373426431	0.700586472	0.035999054	5	0.681130693	0.078527128	N
814	82	NA	0.287600392	0.451512409	0.041133139	2	NA	NA	NA
817	59	NA	0.207421279	0.370781177	0.009909072	7	NA	NA	NA
818	35	92	0.310524019	0.643105611	0.026379526	4	0.915556009	0.056862259	N
821	78	78	0.200170003	0.366547787	0.018042156	6	0.390026031	0.018042156	Y
822	63	64	0.528284435	0.855700759	0.03302749	4	0.915651276	0.015128653	N
824	30	NA	0.398141409	0.615672787	0.015766672	6	NA	NA	NA
825	48	NA	0.219810491	0.335337039	0.017995048	3	NA	NA	NA
827	28	64	0.400077227	0.564340047	0.013564763	6	0.669464605	0.058967825	N
828	77	NA	0.286127404	0.439143165	0.005440764	9	NA	NA	NA
829	77	68	0.261745431	0.437073194	0.009353913	7	0.489534363	0.010207689	N
830	87	87	0.547913591	0.927179952	0.026779844	11	0.898612691	0.026779844	Y
831	72	NA	0.225357884	0.463533338	0.033359432	10	NA	NA	NA
832	97	97	0.295051283	0.573252193	0.064511284	7	0.668902822	0.064511284	Y
833	28	26	0.252533317	0.493685492	0.006080184	5	0.471800011	2.26E-06	N
834	43	55	0.214057068	1.240177106	0.065904363	9	0.5024161	0.020863914	N
836	41	NA	0.497019373	0.838593627	0.05336757	7	NA	NA	NA
837	93	85	0.203434873	0.48372916	0.066352738	7	0.477856902	0.052397922	N
838	36	74	0.276587966	0.379895447	0.004337871	7	0.443903046	0.032213475	N
839	91	91	0.363730414	0.53299007	0.03169483	3	0.559245059	0.03169483	Y
840	57	NA	0.397795578	0.765384016	0.006026305	6	NA	NA	NA
841	70	80	0.407156796	0.789734606	0.024770535	6	0.704849353	0.012979389	N
843	55	NA	0.499185021	0.935254545	0.029547588	6	NA	NA	NA
844	48	NA	0.372629034	0.681318768	0.019142264	10	NA	NA	NA
845	37	NA	0.272258849	0.405742289	0.005101885	9	NA	NA	NA
847	39	12	0.273260907	0.597573817	0.021701887	7	0.565753629	0.011248907	N
848	40	NA	0.278344034	0.629910676	0.005294042	8	NA	NA	NA
850	100	NA	0.357651501	0.538757715	0.060638412	2	NA	NA	NA
851	48	31	0.24768594	0.498805297	0.017740619	10	0.510755035	2.01E-06	N
852	40	NA	0.295646097	0.411719281	0.021131709	6	NA	NA	NA
853	33	NA	0.262192247	0.406123557	0.010622246	5	NA	NA	NA
854	80	NA	0.333638583	0.491227497	0.019805574	4	NA	NA	NA
855	44	70	0.265455969	0.333066837	0.01757312	7	0.300204972	0.017633062	N
856	46	46	0.181272501	0.397531544	0.031122763	6	0.545116245	0.031122763	Y
858	56	NA	0.325490817	0.748577454	0.029776395	6	NA	NA	NA
859	23	NA	0.31948626	0.522109533	0.008250482	4	NA	NA	NA
