#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:1670" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:1670" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:1670" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.1670" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:1670" name="distribution" x="@birthRate.t:1670">
#            <Uniform id="Uniform.10" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="in2.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:1670">
#            <taxonset id="in2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Clutia" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Drypetes" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Erythroxylum" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ixonanthes" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rca" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rhi" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rhizophora" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ricinus" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rtu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Sap" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1670" id="treeLikelihood.1670" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:1670">
#            <siteModel id="SiteModel.s:1670" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1670" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1670" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1670" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:1670" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:1670" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:1670" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1670	TreeHeight	YuleModel	birthRate	mrca.age(in2)
0	-2553.1914811287097	-2546.374960846951	-6.81652028175864	-2546.374960846951	1.7380613661799853	-6.81652028175864	1.0	1.2196424566055448
1000	-1551.1872460730362	-1560.4885974416218	9.301351368585586	-1560.4885974416218	0.22074174541626698	9.301351368585586	4.198523762593221	0.18008384372875222
2000	-1541.444947157653	-1553.632934829851	12.18798767219807	-1553.632934829851	0.1902395758570034	12.18798767219807	9.601140227265175	0.1828668762004113
3000	-1546.6534939843787	-1556.929792949387	10.276298965008344	-1556.929792949387	0.2351772073507595	10.276298965008344	10.212701141428974	0.22900374418721953
4000	-1544.755325671365	-1556.480447652557	11.725121981191867	-1556.480447652557	0.1980993010670395	11.725121981191867	8.903079974509074	0.18256321790293847
5000	-1545.7453258575692	-1556.8731645768833	11.127838719313932	-1556.8731645768833	0.20697995855345055	11.127838719313932	11.060291343965554	0.20242647821620263
6000	-1543.771031760645	-1554.7271195639864	10.956087803341354	-1554.7271195639864	0.22132646646893553	10.956087803341354	8.058683344187473	0.2012945779616588
7000	-1549.3864781690313	-1560.2573063991465	10.870828230115269	-1560.2573063991465	0.19689700716453593	10.870828230115269	15.855504729155927	0.1917997689257108
8000	-1544.7287714316535	-1557.3365399396714	12.607768508017935	-1557.3365399396714	0.16921780928363228	12.607768508017935	12.509806331803839	0.15479457422997098
9000	-1552.6641291437807	-1564.6978173031748	12.03368815939412	-1564.6978173031748	0.19251685172219515	12.03368815939412	11.492695880471205	0.18467029245181657
10000	-1547.2813937650049	-1559.620228829702	12.338835064697061	-1559.620228829702	0.21692946368520027	12.338835064697061	9.15748012154326	0.18921434895511144
11000	-1545.309519010033	-1556.78704937064	11.477530360606924	-1556.78704937064	0.2084384237872584	11.477530360606924	13.699465843077794	0.2065177932657929
12000	-1542.3335393408413	-1554.4904266169933	12.156887276151936	-1554.4904266169933	0.18818788516616272	12.156887276151936	7.1851335800242415	0.1636065698008515
13000	-1550.2164190398712	-1561.8947350422911	11.678316002419841	-1561.8947350422911	0.2296554228852347	11.678316002419841	8.050390428909248	0.200077498711488
14000	-1548.9313803792447	-1560.193790261783	11.262409882538439	-1560.193790261783	0.21704183224458426	11.262409882538439	13.413780632787486	0.2135554959455094
15000	-1545.092682231504	-1556.62896349685	11.53628126534589	-1556.62896349685	0.20426991142309692	11.53628126534589	7.63988914553332	0.20369612080129146
16000	-1547.750887806633	-1559.629922182528	11.8790343758948	-1559.629922182528	0.22644305267440418	11.8790343758948	11.134150880496206	0.20485610297035695
17000	-1544.3052736162272	-1553.8475095910792	9.542235974852108	-1553.8475095910792	0.21929618678651158	9.542235974852108	13.228717747639616	0.20393939361544322
18000	-1548.1134034054826	-1556.910006614005	8.796603208522296	-1556.910006614005	0.2256091650916781	8.796603208522296	13.5212611183551	0.20269027561980724
